Gender,Age,Class,Distance,Delay,Satisfaction
Female,52,Eco,160,50,1
Female,36,Business,2863,0,1
Male,20,Eco,192,0,0
Male,44,Business,3377,0,1
Female,49,Eco,1182,0,1
Male,16,Eco,311,0,1
Female,77,Business,3987,0,1
Female,43,Business,2556,77,1
Male,47,Eco,556,1,1
Female,46,Business,1744,28,1
Female,47,Eco,1235,29,1
Female,33,Business,325,18,0
Female,46,Business,1009,0,1
Female,60,Business,451,117,1
Female,52,Business,925,10,1
Male,50,Eco,83,5,0
Female,31,Eco,728,2,0
Male,52,Eco Plus,1075,0,1
Female,43,Eco,1927,0,0
Female,50,Business,3799,8,1
Male,60,Business,612,21,1
Male,43,Eco,1437,0,0
Male,55,Eco,302,0,0
Male,25,Business,1428,0,1
Female,30,Eco,528,0,0
Male,62,Eco,710,0,0
Male,24,Business,3680,0,1
Female,22,Eco,1521,3,1
Male,44,Business,1543,0,1
Male,51,Eco,235,0,0
Male,43,Business,1235,0,0
Female,56,Eco,308,0,1
Male,41,Eco,624,0,0
Male,22,Eco,1846,40,0
Female,53,Eco,192,0,1
Male,12,Eco,674,80,0
Female,39,Business,370,10,1
Female,55,Business,3169,73,1
Female,32,Business,802,0,0
Female,40,Eco,628,4,0
Female,42,Business,373,0,0
Male,24,Eco,725,0,1
Male,22,Business,277,116,0
Female,28,Business,1024,0,1
Female,36,Eco Plus,267,59,0
Female,62,Eco,550,92,1
Female,60,Business,1889,0,1
Female,59,Eco,460,4,0
Female,49,Business,3295,0,1
Female,44,Eco,1205,0,0
Female,58,Eco Plus,990,0,0
Male,24,Business,444,20,1
Female,53,Eco,520,17,1
Male,56,Eco,321,0,0
Female,30,Business,651,0,1
Male,27,Business,764,30,0
Male,27,Business,566,0,1
Female,67,Eco,626,0,0
Female,32,Eco,130,3,0
Male,36,Eco,331,0,0
Male,44,Business,158,66,1
Female,70,Eco,1829,0,0
Female,55,Eco,646,0,0
Male,66,Eco,404,9,1
Female,19,Business,2738,0,1
Female,53,Eco Plus,964,6,0
Male,22,Business,1660,0,0
Female,69,Eco,872,14,0
Female,42,Business,1898,49,1
Female,41,Business,967,44,1
Female,53,Business,1242,3,0
Male,35,Business,1042,0,0
Female,54,Business,153,0,0
Male,44,Business,366,5,1
Female,26,Eco Plus,913,0,0
Female,44,Eco,528,0,0
Female,24,Eco,1172,28,0
Female,54,Eco,999,0,0
Male,42,Eco Plus,489,0,0
Male,36,Eco,692,0,0
Female,61,Business,1585,24,1
Female,50,Eco,140,0,0
Male,27,Business,2729,44,1
Male,55,Business,1400,1,0
Male,21,Eco,447,7,0
Female,31,Business,334,5,0
Female,37,Eco,158,24,0
Female,50,Business,3696,9,1
Female,21,Eco,846,9,0
Female,53,Eco,329,0,0
Male,45,Business,2580,0,1
Female,42,Eco,84,0,0
Male,59,Business,3358,0,1
Female,54,Eco,308,83,0
Female,46,Business,912,5,1
